dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Credit Card,2,LazyRF[t=0.970],0.99945,0.1945664882659912,10.0345,0.13576147173468975,0.0,0.899655,0.02641463279724121,0.97,
Credit Card,2,LazyRF[t=0.990],0.99945,0.19368219375610352,10.0435,0.13638131768841968,0.0,0.899565,0.02641463279724121,0.99,
Credit Card,2,LazyGBM[s=2.00],0.99855,0.07110881805419922,18.9764,0.2452523369499618,0.0,0.810236,0.017439603805541992,,2.0
Credit Card,2,LazyGBM[s=4.00],0.99855,0.07608175277709961,18.98115,0.22922189840493873,0.0,0.8101885,0.017439603805541992,,4.0
MNIST,3,LazyRF[t=0.900],0.9692,0.5380163192749023,15.418,0.07310143915370176,0.000300000000000078,0.84582,0.03932976722717285,0.9,
MNIST,3,LazyRF[t=0.970],0.9696,0.5691299438476562,18.937,0.06910507460085526,-9.999999999998899e-05,0.81063,0.03932976722717285,0.97,
MNIST,3,LazyRF[t=0.990],0.9696,0.5954976081848145,22.318,0.06604521443345032,-9.999999999998899e-05,0.77682,0.03932976722717285,0.99,
MNIST,3,LazyGBM[s=2.00],0.9419,2.269495964050293,81.0,0.07786473642697792,0.0040000000000000036,0.18999999999999995,0.1767137050628662,,2.0
MNIST,3,LazyGBM[s=4.00],0.9419,2.2805495262145996,81.0,0.07748733497412214,0.0040000000000000036,0.18999999999999995,0.1767137050628662,,4.0
Covertype,3,LazyRF[t=0.900],0.927025,1.561288833618164,16.50475,0.04409820845015362,0.0008500000000000174,0.8349525,0.06885004043579102,0.9,
Covertype,3,LazyRF[t=0.970],0.92775,1.8246588706970215,21.46425,0.037733102631666286,0.00012500000000004174,0.7853575,0.06885004043579102,0.97,
Covertype,3,LazyRF[t=0.990],0.9279,2.102607488632202,25.67325,0.03274507524967471,-2.4999999999941735e-05,0.7432675,0.06885004043579102,0.99,
Covertype,3,LazyGBM[s=2.00],0.767175,0.8502883911132812,80.9958,0.27944115694174015,0.0060749999999999416,0.19004199999999993,0.23760557174682617,,2.0
Covertype,3,LazyGBM[s=4.00],0.767175,0.8706367015838623,80.999475,0.2729101257902109,0.0060749999999999416,0.19000525000000001,0.23760557174682617,,4.0
Higgs,3,LazyRF[t=0.900],0.72045,0.9163162708282471,33.261,0.0698590719611668,0.0022249999999999215,0.6673899999999999,0.06401300430297852,0.9,
Higgs,3,LazyRF[t=0.970],0.72235,1.2507693767547607,48.69575,0.05117890275589118,0.0003249999999999087,0.5130425000000001,0.06401300430297852,0.97,
